beta,software,bias,mse,ratio,is_na,cover_fit
beta0,glmmTMB,-0.003671258079480923,0.5719657698511382,2.3564584799649498e-5,17,0.5456379223398891
beta0,spBayes,0.004827456960387576,0.7082352304488027,3.290480295597084e-5,0,0.5035
beta0,spmodel,-0.054535569765742704,0.5361048030315188,0.0055476622348025004,0,0.7715
beta1,glmmTMB,8.476983149846225e-4,0.014916843517011382,4.817322326994147e-5,17,0.9056984367120524
beta1,spBayes,-0.0032758470839953945,0.015092572872726768,7.110235085969363e-4,0,0.9005
beta1,spmodel,0.006344093580791268,0.014474545982437867,0.0027805724207633008,0,0.908
beta2,glmmTMB,0.00644013277922699,0.03528798022794933,0.0011753381731160696,17,0.9051941502773575
beta2,spBayes,0.014571719388450319,0.03742303638198943,0.005673911752332564,0,0.902
beta2,spmodel,7.987856444886582e-4,0.03451454527068346,1.848665543286545e-5,0,0.909
beta3,glmmTMB,8.22820632832893e-4,0.03550298719496577,1.9069769822397482e-5,17,0.9117498739283914
beta3,spBayes,0.0047799895107654335,0.03607326623044601,6.333859422949479e-4,0,0.907
beta3,spmodel,-0.004864794756536383,0.034554781504364224,6.848901076175196e-4,0,0.914
